lead_id,deterministic_tier,llm_score,llm_rationale,score_divergence,scores_aligned
L1517,tier2,45,"VP of Engineering at a software company represents good seniority, but uses a freemail address and has low intent with no surge signals.",10,true
L1480,tier2,55,"Machine Learning Engineer at a midsized software company. Good target profile for product-led growth, though intent is currently low.",0,true
L2362,tier2,50,Backend Engineer at an AI/ML software company. Strong technical relevance but low intent.,5,true
L2778,tier3,30,"Financial Analyst role is non-technical, despite moderate intent and recent funding at the company.",10,true
L1210,tier3,35,"High intent and GPU usage trial spike, but the title is Content Writer, making it less likely to be an infrastructure buyer directly.",15,true
L1762,tier3,20,Marketing Manager with completely missing company and firmographic details.,0,true
L1819,tier3,35,"Project Manager in software with a trial spike, but limited direct authority over GPU infrastructure selection.",15,true
L1181,tier2,85,"DevOps Engineer showing maximum intent score, surging signals, competitor churn signal, and recent funding.",30,true
L1841,tier3,15,Sales Development Rep at a landscaping company. Completely irrelevant industry and role despite open opportunity in CRM.,5,true
L1415,tier3,40,"High intent and surging signals, but missing job title and company information prevent high confidence.",20,true
L2631,tier2,45,"Senior Data Scientist at an AI/ML company, but using a personal freemail address and low intent.",10,true
L1912,tier3,35,Missing job title at a large pipeline/software firm with medium intent.,15,true
L2417,tier3,30,"Sales Development Role, non-technical, despite trial spike signals.",10,true
L1138,tier3,25,Financial Analyst at a real estate firm. High intent is likely noise or corporate research unrelated to GPU needs.,5,true
L1705,tier3,30,"HR Manager at an AI company. High intent signals are present, but HR has no direct technical purchasing power.",10,true
L1964,tier3,10,Accountant at a fitness studio using freemail. Completely out of target profile.,10,true
L1025,tier2,90,Computer Vision Engineer at Shipmate who is already an existing customer and exhibits high surging intent.,35,false
L2245,tier2,88,"SRE at Shipmate with max intent, competitor churn signal, and recent funding. Excellent sales opportunity.",33,false
L2732,tier2,75,Head of Data Science at a small AI/ML company. Decision-maker title aligns well with Runpod offerings.,20,true
L2772,tier2,70,MLOps Engineer is an ideal technical buyer for GPU infrastructure. Medium intent supports good potential.,15,true
L1680,tier2,80,Chief AI Officer is a primary decision-maker for AI cloud services. Medium intent and funding present.,25,true
L1672,tier3,15,Financial Analyst using freemail at a small software company. Non-technical role.,5,true
L1563,tier3,40,Student title despite being an existing customer at an AI/ML company with very high internal intent score.,20,true
L2583,tier2,65,"VP of Engineering with churned CRM status. High seniority compensates for lack of company text, but past churn status is a risk.",10,true
L1616,tier2,82,"SVP Engineering with high intent, surging docs traffic, and hiring signals. Excellent enterprise target.",27,true
L1121,tier3,45,"Ambiguous 'Builder' title with high intent signals and trial spike. Likely technical, but vague title.",25,true
L2813,tier3,20,"Content Writer role, currently opted out of email and flagged with DNC.",0,true
L1959,tier3,40,"Research Engineer is technical, but company is in the Travel industry rather than AI/ML or core software.",20,true
L2598,tier3,25,Marketing Manager in Travel industry with opt-out and DNC flags.,5,true
L1892,tier1,92,Head of AI at a software company with strong campaign engagement and decision-maker seniority. Perfect fit for Tier 1 sales queue.,2,true
L1694,tier2,35,Infrastructure engineer at an unverifiable company with low intent signals and no direct engagement. Moderate relevance due to title.,20,true
L2572,tier2,40,"Head of Platform is a decision-maker title, but company profile is missing and intent is low, making near-term conversion unlikely.",15,true
L1445,tier1,55,"VP of Engineering at an early-stage company gives strong title relevance, but overall intent signals remain quite low.",35,false
L1155,tier3,25,"Despite high surging intent and trials, the company is Landscaping, indicating a mismatched target profile or potential test traffic.",5,true
L2517,tier2,15,"Existing customer with strong intent, but has explicit email opt-out and DNC flags set, rendering them un-contactable for sales.",40,false
L1323,tier2,30,Software engineer using a freemail address with sparse information. Likely a self-serve PLG user rather than a sales target.,25,true
L1078,tier2,45,"Research engineer at an AI/ML startup shows good fit, but intent is low and company data is minimal.",10,true
L2698,tier2,60,Head of MLOps at a marketing company showing moderate intent and open deal status in CRM. Strong technical fit despite company industry ambiguity.,5,true
L2838,tier2,45,Platform engineer at an AI company using a freemail address. Good technical alignment but moderate intent.,10,true
L2063,tier3,10,"Business analyst at a nail salon. Despite a trial spike, this is a non-technical role in an irrelevant industry.",10,true
L2900,tier3,25,"Staff engineer at a landscaping company. High technical seniority, but completely wrong vertical for GPU infrastructure sales.",5,true
L1010,tier3,20,"Social media manager at an AI company. Engaging with marketing campaigns, but lacks technical relevance for infrastructure.",0,true
L2021,tier3,15,"Director of Infrastructure at a nail salon. Senior title, but company industry makes this a low-value target.",5,true
L2092,tier2,75,SVP Engineering at an AI/ML software startup with solid medium-high intent and surging signals. Excellent enterprise opportunity.,20,true
L2504,tier2,50,"AI engineer at an AI company with high surging intent, but email opt-out and DNC flags limit outbound sales engagement.",5,true
L2426,tier3,20,Indie hacker profile with a freemail address at a university. High intent score likely driven by academic usage rather than commercial deal potential.,0,true
L1586,tier3,25,Missing job title at an AI company. Hard to assess persona relevance despite being in the right industry.,5,true
L2191,tier2,45,"ML engineer at an unverifiable ML company. Good technical fit, but low current intent signals.",10,true
L2344,tier3,15,Student title at a tech-sounding company. Unlikely to be a commercial decision-maker.,5,true
L2409,tier2,40,"Senior ML engineer at an AI company who was previously marked closed-lost. Shows recent campaign response and intent, warranting re-engagement.",15,true
L2657,tier2,65,Staff engineer at an AI/ML company showing good infrastructure expansion signals and pricing page visits. Strong PLG candidate.,10,true
L2215,tier2,80,"Deep learning engineer at an active software company with high surging intent, funding, and competitor churn signals. Prime sales target.",25,true
L1100,tier2,70,Director of Platform Engineering at an early-stage AI lab showing strong intent and pricing page engagement.,15,true
L1351,tier3,10,Content writer at a nail salon. Completely misaligned persona and industry.,10,true
L2715,tier3,25,Graduate student at a university. High trial intent likely for academic research rather than commercial use.,5,true
L2744,tier3,45,Missing job title at an AI/ML software company with high intent and surging signals. Worth a light touch despite missing title.,25,true
L1491,tier3,10,Student using freemail at a university. Zero commercial intent or relevance.,10,true
L1148,tier3,10,Recruiter at a bakery who was previously marked closed-lost. Irrelevant role and industry.,10,true
L2413,tier1,70,"Head of ML at an AI/ML software company. Strong decision-maker title and ideal target industry, though intent is currently low.",20,true
L1050,tier3,30,PhD candidate at an institute showing very high intent signals. Likely academic compute usage rather than a near-term sales opportunity.,10,true
L1321,tier2,52,"Applied Scientist at an unverified mid-sized company in Ireland. Moderate intent score, but lacking industry context.",3,true
L2337,tier3,15,Sales Development Rep at a tiny AI company using a freemail address. Not a direct buyer or technical user for GPU infrastructure.,5,true
L2756,tier2,88,"Data Scientist at a large AI/ML software company showing high surging intent, competitor tool churn signal, and trial spike.",33,false
L2326,tier2,45,"SRE at a tiny AI/ML startup with low intent. Relevant technical role, but low engagement signals.",10,true
L1803,tier2,40,"Director of Infrastructure at a tiny EvalHouse entity, but low intent score despite previous campaign response.",15,true
L1011,tier3,10,"Product Marketing Manager at a landscaping services company. An existing customer with active deal, but completely irrelevant to AI GPU infrastructure.",10,true
L1483,tier2,65,Platform Engineer at Opsfleet with positive intent signals including trial spike and competitor churn.,10,true
L1838,tier3,35,"Co-founder at an insurance firm. High intent and funding signals, but churned status and non-tech industry make conversion unlikely.",15,true
L1416,tier3,12,"Executive Assistant at a dental group. Despite open opportunity and campaign clicks, role is non-technical.",8,true
L2070,tier2,25,"Head of Data Science at EvalHouse, but email opt-out and DNC flags are set, with low intent.",30,true
L1030,tier2,50,"Machine Learning Engineer at TensorLoop. Good technical fit, though current intent score is low.",5,true
L2435,tier2,85,"Computer Vision Engineer at Axon Research with high surging intent, funding round, and GPU trial spikes.",30,true
L1630,tier3,15,Account Executive with missing company and industry details. Low intent.,5,true
L2274,tier3,30,"Missing job title at Gradient Peak. Moderate intent for expanded infrastructure footprint, but role is unknown.",10,true
L1288,tier2,82,"Research Engineer at Promptline with high intent, recent funding, and infrastructure expansion signals.",27,true
L2192,tier2,85,"Co-Founder & CTO at TensorLoop with high intent, surging ML hiring, and infrastructure signals.",30,true
L2666,tier3,10,Independent Consultant in logistics with DNC and email opt-out flags active.,10,true
L1722,tier3,20,Marketing Manager with sparse company data and low intent score.,0,true
L1826,tier3,15,Office Manager at a logistics company. Not a buyer for AI infrastructure.,5,true
L1811,tier2,,,,true
L2363,tier3,40,"Indie hacker at State University (.edu domain). High intent signals, but academic domain lowers commercial conversion priority.",20,true
L1378,tier3,30,"PhD Candidate using a freemail address. Technical user, but commercial intent is questionable.",10,true
