lead_id,deterministic_tier,routing_decision,needs_review,review_reasons
L1517,tier2,human_review,true,technical IC title but company/industry unverifiable
L1480,tier2,human_review,true,EU / Consent Verification Needed
L2362,tier2,nurture,false,
L2778,tier3,self_serve_newsletter,false,
L1210,tier3,self_serve_newsletter,false,
L1762,tier3,self_serve_newsletter,false,
L1819,tier3,self_serve_newsletter,false,
L1181,tier2,human_review,true,technical IC title but company/industry unverifiable
L1841,tier3,self_serve_newsletter,false,
L1415,tier3,human_review,true,missing job title
L2631,tier2,nurture,false,
L1912,tier3,human_review,true,missing job title
L2417,tier3,self_serve_newsletter,false,
L1138,tier3,self_serve_newsletter,false,
L1705,tier3,self_serve_newsletter,false,
L1964,tier3,self_serve_newsletter,false,
L1025,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2245,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2732,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2772,tier2,human_review,true,technical IC title but company/industry unverifiable
L1680,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1672,tier3,self_serve_newsletter,false,
L1563,tier3,self_serve_newsletter,false,
L2583,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1616,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1121,tier3,self_serve_newsletter,false,
L2813,tier3,self_serve_newsletter,false,
L1959,tier3,self_serve_newsletter,false,
L2598,tier3,self_serve_newsletter,false,
L1892,tier1,sales_queue,false,
L1694,tier2,human_review,true,technical IC title but company/industry unverifiable
L2572,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1445,tier1,human_review,true,Score divergence: deterministic vs. probabilistic
L1155,tier3,self_serve_newsletter,false,
L2517,tier2,human_review,true,technical IC title but company/industry unverifiable | Score divergence: deterministic vs. probabilistic
L1323,tier2,nurture,false,
L1078,tier2,nurture,false,
L2698,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2838,tier2,nurture,false,
L2063,tier3,self_serve_newsletter,false,
L2900,tier3,human_review,true,Duplicate record with conflicting fields
L1010,tier3,self_serve_newsletter,false,
L2021,tier3,self_serve_newsletter,false,
L2092,tier2,nurture,false,
L2504,tier2,nurture,false,
L2426,tier3,self_serve_newsletter,false,
L1586,tier3,human_review,true,missing job title
L2191,tier2,human_review,true,technical IC title but company/industry unverifiable
L2344,tier3,self_serve_newsletter,false,
L2409,tier2,nurture,false,
L2657,tier2,nurture,false,
L2215,tier2,nurture,false,
L1100,tier2,nurture,false,
L1351,tier3,self_serve_newsletter,false,
L2715,tier3,self_serve_newsletter,false,
L2744,tier3,human_review,true,missing job title
L1491,tier3,self_serve_newsletter,false,
L1148,tier3,self_serve_newsletter,false,
L2413,tier1,sales_queue,false,
L1050,tier3,self_serve_newsletter,false,
L1321,tier2,human_review,true,technical IC title but company/industry unverifiable
L2337,tier3,self_serve_newsletter,false,
L2756,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2326,tier2,nurture,false,
L1803,tier2,nurture,false,
L1011,tier3,self_serve_newsletter,false,
L1483,tier2,nurture,false,
L1838,tier3,self_serve_newsletter,false,
L1416,tier3,self_serve_newsletter,false,
L2070,tier2,nurture,false,
L1030,tier2,nurture,false,
L2435,tier2,human_review,true,EU / Consent Verification Needed
L1630,tier3,self_serve_newsletter,false,
L2274,tier3,human_review,true,missing job title
L1288,tier2,human_review,true,technical IC title but company/industry unverifiable
L2192,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L2666,tier3,self_serve_newsletter,false,
L1722,tier3,self_serve_newsletter,false,
L1826,tier3,self_serve_newsletter,false,
L1811,tier2,nurture,false,
L2363,tier3,self_serve_newsletter,false,
L1378,tier3,self_serve_newsletter,false,
L1055,tier1,sales_queue,false,
L2491,tier2,nurture,false,
L2879,tier2,human_review,true,Duplicate record with conflicting fields
L1044,tier3,self_serve_newsletter,false,
L2478,tier3,self_serve_newsletter,false,
L1123,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1211,tier3,human_review,true,Duplicate record with conflicting fields
L2328,tier2,nurture,false,
L1412,tier3,human_review,true,missing job title
L1898,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1644,tier3,self_serve_newsletter,false,
L2396,tier3,self_serve_newsletter,false,
L1431,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2135,tier3,self_serve_newsletter,false,
L1027,tier3,self_serve_newsletter,false,
L1263,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1569,tier3,self_serve_newsletter,false,
L1293,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1567,tier2,nurture,false,
L1265,tier3,self_serve_newsletter,false,
L1242,tier3,self_serve_newsletter,false,
L1226,tier3,self_serve_newsletter,false,
L1404,tier3,self_serve_newsletter,false,
L1607,tier3,self_serve_newsletter,false,
L2456,tier3,self_serve_newsletter,false,
L1751,tier3,self_serve_newsletter,false,
